   Vol_A   Vol_B
   0.03   1.07
   0.04   0.88
   0.36   0.54
   0.73   0.21
   0.97   0.04
   0.97   0.00
   1.02   0.00
   0.94   0.09
   0.07   0.94
   0.06   0.97
   0.02   0.96
   0.02   1.00
   0.00   1.02
   0.00   1.05
   0.00   1.01
   0.03   1.01
   0.86   0.16
   1.02   0.00
   0.87   0.18
   0.86   0.12
   0.74   0.29
   0.17   0.81
   0.03   0.99
   0.11   0.89
   0.34   0.70
   0.88   0.07
   0.99   0.01
   1.05   0.03
   0.67   0.32
   0.26   0.76
   0.03   0.93
   0.03   1.03
   0.06   0.95
   0.04   1.01
   0.13   0.82
   0.34   0.60
   1.03   0.02
   1.06   0.00
   1.04   0.02
   1.06   0.01
   0.85   0.09
   0.20   0.84
   0.01   1.06
   0.06   0.91
   0.07   0.85
   0.12   0.80
   0.89   0.13
   1.05   0.02
   0.80   0.17
   0.38   0.57
   0.09   0.87
   0.14   0.86
   0.36   0.64
   0.54   0.43
   0.82   0.18
   0.96   0.06
   0.97   0.00
   1.04   0.00
   0.98   0.00
   1.00   0.07
   0.10   0.89
   0.01   0.96
   0.03   1.02
   0.08   0.95
   0.03   0.98
   0.03   1.00
   0.78   0.17
   0.99   0.04
   0.33   0.61
   0.08   0.92
   0.61   0.32
   0.83   0.14
   0.98   0.00
   1.05   0.00
   0.98   0.00
   1.00   0.03
   0.44   0.52
   0.56   0.49
   0.88   0.12
   0.38   0.55
   0.02   1.04
   0.01   0.99
   0.10   0.84
   0.08   0.96
   0.05   0.96
   0.00   0.95
   0.66   0.25
   0.77   0.27
   0.05   0.91
   0.03   0.94
   0.73   0.21
   1.01   0.03
   1.05   0.00
   0.98   0.00
   1.01   0.00
   0.96   0.04
   0.15   0.76
   0.17   0.83
   0.86   0.13
   0.84   0.09
   0.18   0.84
   0.17   0.69
   0.93   0.14
   1.01   0.06
   0.61   0.37
   0.01   0.91
   0.06   0.87
   0.06   0.90
   0.00   0.95
   0.02   1.03
   0.20   0.84
   0.50   0.45
   0.91   0.03
   1.09   0.00
   1.01   0.05
   0.89   0.14
   0.25   0.79
   0.24   0.73
   0.82   0.22
   0.72   0.23
   0.34   0.69
   0.10   0.98
   0.69   0.28
   0.96   0.09
   0.77   0.22
   0.09   0.91
   0.04   0.98
   0.07   0.88
   0.17   0.77
   0.00   1.06
   0.02   0.99
   0.12   0.86
   0.92   0.13
   0.89   0.04
   0.40   0.62
   0.29   0.70
   0.80   0.16
   0.73   0.17
   0.74   0.22
   0.52   0.47
   0.70   0.21
   0.11   0.85
   0.11   0.85
   0.28   0.68
   0.38   0.65
   0.09   0.96
   0.11   0.79
   0.79   0.18
   0.80   0.22
   0.00   1.05
   0.00   1.05
   0.18   0.87
   0.88   0.13
   0.93   0.09
   0.13   0.87
   0.12   0.76
   1.00   0.08
   0.98   0.07
   0.83   0.21
   0.70   0.23
   0.81   0.11
   0.71   0.25
   0.55   0.42
   0.11   0.88
   0.22   0.76
   0.15   0.92
   0.16   0.83
   0.77   0.18
   0.92   0.09
   0.02   0.95
   0.00   1.00
   0.39   0.60
   0.92   0.09
   0.93   0.09
   0.07   1.04
   0.10   0.95
   0.65   0.31
   0.75   0.21
   0.86   0.17
   0.99   0.02
   1.00   0.00
   0.99   0.03
   0.95   0.10
   0.24   0.73
   0.04   0.89
   0.07   0.93
   0.06   1.07
   0.21   0.81
   0.17   0.88
   0.01   0.94
   0.00   1.06
   0.08   0.93
   0.42   0.55
   0.44   0.47
   0.10   0.87
   0.07   0.97
   0.06   0.99
   0.03   1.03
   0.07   1.00
   0.80   0.17
   1.01   0.02
   0.91   0.04
   0.81   0.19
   0.21   0.79
   0.21   0.82
   0.29   0.64
   0.15   0.88
   0.07   0.96
   0.02   0.95
   0.00   1.08
   0.00   0.96
   0.00   1.07
   0.04   0.88
   0.06   0.97
   0.08   0.94
   0.02   0.98
   0.00   1.05
   0.00   1.08
   0.01   1.08
   0.15   0.91
   0.23   0.78
   0.71   0.26
   0.88   0.12
   0.87   0.23
   0.94   0.10
   0.99   0.05
   0.94   0.09
   0.25   0.67
   0.07   0.92
   0.03   0.99
   0.01   0.99
   0.00   1.00
   0.11   0.85
   0.16   0.78
   0.11   0.83
   0.04   0.92
   0.01   1.01
   0.17   0.93
   0.09   0.92
   0.17   0.75
   0.22   0.74
   0.71   0.17
   0.99   0.02
   0.93   0.00
   0.98   0.00
   1.02   0.00
   0.89   0.09
   0.22   0.82
   0.23   0.75
   0.16   0.84
   0.07   0.91
   0.00   0.95
   0.13   0.82
   0.83   0.16
   0.71   0.21
   0.03   0.97
   0.03   1.09
   0.49   0.38
   0.82   0.14
   0.93   0.07
   0.95   0.04
   0.95   0.04
   0.96   0.02
   0.96   0.00
   0.95   0.00
   1.02   0.00
   0.79   0.26
   0.51   0.43
   0.88   0.07
   0.81   0.12
   0.29   0.68
   0.10   0.86
   0.10   0.95
   0.96   0.06
   0.94   0.09
   0.17   0.84
   0.13   0.87
   0.76   0.25
   0.96   0.04
   1.02   0.01
   0.82   0.23
   0.33   0.69
   0.78   0.18
   1.05   0.00
   0.99   0.00
   0.97   0.03
   0.89   0.09
   0.91   0.08
   1.05   0.02
   1.00   0.03
   0.37   0.62
   0.12   0.88
   0.13   0.79
   0.96   0.09
   1.02   0.00
   0.92   0.06
   0.91   0.13
   0.80   0.15
   0.76   0.28
   0.67   0.31
   0.26   0.74
   0.01   0.98
   0.18   0.79
   0.44   0.57
   0.81   0.20
   0.90   0.08
   0.92   0.08
   0.91   0.01
   1.00   0.00
   0.95   0.01
   0.71   0.25
   0.13   0.96
   0.16   0.83
   0.87   0.15
   0.97   0.00
   1.05   0.00
   0.98   0.02
   0.52   0.52
   0.12   0.78
   0.00   0.98
   0.00   0.92
   0.00   1.01
   0.03   0.95
   0.24   0.73
   0.89   0.13
   0.81   0.12
   0.59   0.35
   0.37   0.51
   0.73   0.21
   1.15   0.01
   1.04   0.01
   0.87   0.13
   0.75   0.20
   0.87   0.10
   1.02   0.04
   0.93   0.05
   0.83   0.13
   0.15   0.81
   0.00   1.08
   0.00   1.06
   0.00   1.08
   0.00   0.96
   0.00   1.00
   0.03   1.03
   0.57   0.43
   0.84   0.15
   0.50   0.47
   0.21   0.79
   0.20   0.78
   0.86   0.10
   0.98   0.00
   1.09   0.00
   0.76   0.21
   0.53   0.50
   0.49   0.43
   0.22   0.73
   0.17   0.77
   0.04   0.97
   0.01   0.94
   0.00   1.04
   0.00   0.96
   0.00   1.09
   0.06   1.00
   0.06   1.05
   0.31   0.63
   0.91   0.12
   0.96   0.02
   0.68   0.33
   0.04   0.98
   0.26   0.71
   0.98   0.03
   0.91   0.10
   0.18   0.87
   0.02   1.04
   0.02   0.92
   0.03   0.95
   0.30   0.69
   0.38   0.55
   0.03   1.02
   0.00   1.08
   0.01   0.94
   0.15   0.81
   0.79   0.17
   0.84   0.10
   0.93   0.01
   0.96   0.00
   0.93   0.00
   0.91   0.15
   0.05   0.97
   0.07   0.94
   0.85   0.18
   0.77   0.20
   0.05   0.97
   0.00   0.99
   0.00   0.98
   0.07   0.94
   0.78   0.18
   0.74   0.20
   0.08   0.83
   0.07   0.95
   0.19   0.73
   0.58   0.41
   0.90   0.09
   0.92   0.05
   0.92   0.03
   1.00   0.00
   1.09   0.00
   0.92   0.05
   0.10   0.90
   0.04   1.02
   0.04   0.99
   0.02   0.92
   0.00   1.04
   0.00   0.92
   0.00   0.96
   0.04   0.98
   0.67   0.33
   0.79   0.22
   0.43   0.58
   0.31   0.68
   0.85   0.20
   0.79   0.21
   0.28   0.64
   0.14   0.85
   0.37   0.58
   0.96   0.06
   1.04   0.00
   0.92   0.07
   0.08   0.90
   0.00   1.04
   0.00   1.01
   0.00   1.07
   0.01   0.97
   0.04   1.02
   0.11   0.82
   0.38   0.61
   0.81   0.20
   0.80   0.16
   0.74   0.26
   0.65   0.28
   0.84   0.14
   0.74   0.22
   0.11   0.87
